Quarto,Tempo,Time,Placar_casa,Placar_visitante,Indicador,Nome
Q1,0:00,Irã,30,16,RD,Aaron Geramipoor
Q1,0:00,Porto Rico,30,16,2_Pts_T,Devon Collier
Q1,0:10,Irã,30,16,FC,Mohammad Hassanzadeh
Q1,0:10,Porto Rico,30,16,FR,Angel Rodriguez
Q1,0:14,Irã,30,16,AS,Mohammad Jamshidijafarabadi
Q1,0:14,Irã,30,16,2_Pts_C,Sajjad Mashayekhi
Q1,0:18,Irã,28,16,substituicao_entra,Aaron Geramipoor
Q1,0:18,Irã,28,16,substituicao_sai,Hamed Haddadi
Q1,0:31,Irã,28,16,substituicao_entra,Sajjad Mashayekhi
Q1,0:31,Irã,28,16,substituicao_sai,Behnam Yakhchalidehkordi
Q1,0:31,Porto Rico,28,16,substituicao_entra,Angel Rodriguez
Q1,0:31,Porto Rico,28,16,substituicao_sai,Renaldo Balkman
Q1,0:31,Porto Rico,28,16,substituicao_entra,Devon Collier
Q1,0:31,Porto Rico,28,16,substituicao_sai,Jorge Bryan Díaz
Q1,0:31,Porto Rico,28,16,substituicao_entra,Ramon Clemente
Q1,0:31,Porto Rico,28,16,substituicao_sai,Gary Browne
Q1,0:37,Irã,28,16,RD,
Q1,0:38,Porto Rico,28,16,2_Pts_T,Gary Browne
Q1,0:46,Irã,28,16,2_Pts_C,Mohammad Hassanzadeh
Q1,0:53,Irã,26,16,RO,Mohammad Hassanzadeh
Q1,0:53,Irã,26,16,2_Pts_T,Mohammad Hassanzadeh
Q1,0:58,Irã,26,16,RO,Mohammad Hassanzadeh
Q1,0:58,Irã,26,16,2_Pts_T,Behnam Yakhchalidehkordi
Q1,10:00,Irã,0,0,inicio_quarto,Hamed Haddadi
Q1,1:05,Irã,26,16,BR,Mohammad Hassanzadeh
Q1,1:05,Porto Rico,26,16,ER,Renaldo Balkman
Q1,1:15,Irã,26,16,2_Pts_T,Hamed Haddadi
Q1,1:15,Porto Rico,26,16,RD,Gian Clavell
Q1,1:31,Porto Rico,26,16,AS,Gian Clavell
Q1,1:31,Porto Rico,26,16,3_Pts_C,Isaiah Pineiro
Q1,1:40,Porto Rico,26,13,RO,Gian Clavell
Q1,1:40,Porto Rico,26,13,2_Pts_T,Renaldo Balkman
Q1,1:52,Irã,26,13,AS,Mohammad Jamshidijafarabadi
Q1,1:52,Irã,26,13,2_Pts_C,Mohammadsamad Nik Khahbahrami
Q1,2:14,Porto Rico,24,13,2_Pts_C,Gary Browne
Q1,2:24,Porto Rico,24,11,RO,Isaiah Pineiro
Q1,2:24,Porto Rico,24,11,2_Pts_T,Isaiah Pineiro
Q1,2:37,Irã,24,11,3_Pts_T,Mohammadsamad Nik Khahbahrami
Q1,2:37,Porto Rico,24,11,RD,Isaiah Pineiro
Q1,2:40,Irã,24,11,FR,Behnam Yakhchalidehkordi
Q1,2:40,Irã,24,11,RO,
Q1,2:40,Porto Rico,24,11,FC,Gian Clavell
Q1,2:42,Irã,24,11,3_Pts_T,Mohammadsamad Nik Khahbahrami
Q1,2:59,Irã,24,11,RD,Mohammadsamad Nik Khahbahrami
Q1,2:59,Porto Rico,24,11,3_Pts_T,Gian Clavell
Q1,3:08,Porto Rico,24,11,RO,Jorge Bryan Díaz
Q1,3:08,Porto Rico,24,11,3_Pts_T,Gian Clavell
Q1,3:27,Irã,24,11,3_Pts_C,Mohammadsamad Nik Khahbahrami
Q1,3:47,Irã,21,11,RD,Mohammad Jamshidijafarabadi
Q1,3:47,Porto Rico,21,11,2_Pts_T,Jorge Bryan Díaz
Q1,4:04,Porto Rico,21,11,RO,Isaiah Pineiro
Q1,4:04,Porto Rico,21,11,3_Pts_T,Gary Browne
Q1,4:11,Porto Rico,21,11,tempo_tecnico,
Q1,4:13,Porto Rico,21,11,substituicao_entra,Gian Clavell
