Quarto,Tempo,Time,Placar_casa,Placar_visitante,Indicador,Nome
Q1,0:00,Angola,20,29,AS,Reggie Moore
Q1,0:00,Angola,20,29,,Leonel Paulodunk made
Q1,0:04,Angola,18,29,FR,Gerson Domingos
Q1,0:04,Serbia,18,29,FC,Vasilije Micic
Q1,0:23,Serbia,18,29,,Vasilije Micic2pt jump shot made
Q1,0:46,Angola,18,27,LL_Pts_C,Leonel Paulo
Q1,0:46,Angola,17,27,LL_Pts_T,Leonel Paulo
Q1,0:46,Angola,17,27,FR,Leonel Paulo
Q1,0:46,Serbia,18,27,substituicao_entra,Bogdan Bogdanovic
Q1,0:46,Serbia,18,27,substituicao_sai,Marko Simonovic
Q1,0:46,Serbia,17,27,substituicao_entra,Miroslav Raduljica
Q1,0:46,Serbia,17,27,substituicao_sai,Nikola Milutinov
Q1,0:46,Serbia,17,27,FC,Marko Simonovic
Q1,10:00,Serbia,0,0,inicio_quarto,Boban Marjanovic
Q1,1:06,Angola,17,27,RD,Reggie Moore
Q1,1:06,Angola,17,26,FC,Valdélicio Joaquim
Q1,1:06,Serbia,17,27,LL_Pts_T,Nikola Milutinov
Q1,1:06,Serbia,17,27,LL_Pts_C,Nikola Milutinov
Q1,1:06,Serbia,17,26,FR,Nikola Milutinov
Q1,1:12,Angola,17,26,ER,Olimpio Cipriano
Q1,1:15,Angola,17,26,RD,Gerson Domingos
Q1,1:15,Serbia,17,26,2_Pts_T,Nikola Milutinov
Q1,1:21,Angola,17,26,substituicao_entra,Reggie Moore
Q1,1:21,Angola,17,26,substituicao_sai,Hermenegildo Divaldo Mbunga
Q1,1:21,Angola,17,26,substituicao_entra,Olimpio Cipriano
Q1,1:21,Angola,17,26,substituicao_sai,Jerson Goncalves
Q1,1:21,Serbia,17,26,substituicao_entra,Marko Simonovic
Q1,1:21,Serbia,17,26,substituicao_sai,Vladimir Lucic
Q1,1:29,Angola,17,26,,Valdélicio Joaquim2pt jump shot made
Q1,1:40,Angola,15,26,RO,Valdélicio Joaquim
Q1,1:40,Angola,15,26,2_Pts_T,Leonel Paulo
Q1,2:02,Serbia,15,26,AS,Vasilije Micic
Q1,2:02,Serbia,15,26,,Vladimir Lucic2pt jump shot made
Q1,2:23,Angola,15,24,FC,Jerson Goncalves
Q1,2:23,Serbia,15,24,FR,Vasilije Micic
Q1,2:26,Angola,15,24,,Jerson Goncalveslayup missed
Q1,2:26,Serbia,15,24,RD,Nikola Jokic
