Quarto,Tempo,Time,Placar_casa,Placar_visitante,Indicador,Nome
Q1,0:00,China,16,14,,Shuo Fang3pt jump shot missed
Q1,0:05,Cote d'Ivoire,16,14,3_Pts_C,Souleyman Diabate
Q1,0:30,Cote d'Ivoire,13,14,RD,Frejus Zerbo
Q1,0:30,Cote d'Ivoire,13,14,FC,Frejus Zerbo
Q1,0:30,China,13,14,LL_Pts_T,Zhelin Wang
Q1,0:30,China,13,14,LL_Pts_T,Zhelin Wang
Q1,0:30,China,13,14,FR,Zhelin Wang
Q1,0:36,Cote d'Ivoire,13,14,ER,Souleyman Diabate
Q1,0:36,China,13,14,BR,Zhelin Wang
Q1,0:41,Cote d'Ivoire,13,14,BR,Frejus Zerbo
Q1,0:41,China,13,14,ER,Shuo Fang
Q1,10:00,China,0,0,inicio_quarto,Qi Zhou
Q1,1:02,Cote d'Ivoire,13,14,AS,Tiegbe Bamba
Q1,1:02,Cote d'Ivoire,13,14,,Frejus Zerbolayup made
Q1,1:07,Cote d'Ivoire,11,14,substituicao_entra,Bryan Pamba
Q1,1:07,Cote d'Ivoire,11,14,substituicao_sai,Guy Landry Edi
Q1,1:20,Cote d'Ivoire,11,14,FR,Deon Thompson
Q1,1:20,Cote d'Ivoire,11,14,RD,
Q1,1:20,China,11,14,FC,Zhelin Wang
Q1,1:20,China,11,14,,Shuo Fang2pt jump shot missed
Q1,1:43,Cote d'Ivoire,11,14,ER,Guy Landry Edi
Q1,1:43,China,11,14,substituicao_entra,Rui Zhao
Q1,1:43,China,11,14,substituicao_sai,Ailun Guo
Q1,1:52,Cote d'Ivoire,11,13,FC,Frejus Zerbo
Q1,1:52,China,11,14,LL_Pts_C,Zhelin Wang
Q1,1:52,China,11,13,LL_Pts_T,Zhelin Wang
Q1,1:52,China,11,13,substituicao_entra,Jianlian Yi
Q1,1:52,China,11,13,substituicao_sai,Qi Zhou
Q1,1:52,China,11,13,FR,Zhelin Wang
Q1,2:12,Cote d'Ivoire,11,13,2_Pts_C,Deon Thompson
Q1,2:27,China,9,13,substituicao_entra,Abudushalamu Abudurexiti
Q1,2:27,China,9,13,substituicao_sai,Xiaochuan Zhai
Q1,2:27,China,9,13,ER,Xiaochuan Zhai
Q1,2:52,Cote d'Ivoire,9,13,AS,Souleyman Diabate
Q1,2:52,Cote d'Ivoire,9,13,2_Pts_C,Deon Thompson
Q1,3:06,Cote d'Ivoire,7,13,RO,Deon Thompson
Q1,3:06,Cote d'Ivoire,7,13,,Guy Landry Edi3pt jump shot missed
Q1,3:15,Cote d'Ivoire,7,13,RO,Deon Thompson
Q1,3:15,Cote d'Ivoire,7,13,,Deon Thompson3pt jump shot missed
Q1,3:22,Cote d'Ivoire,7,13,substituicao_entra,Tiegbe Bamba
Q1,3:22,Cote d'Ivoire,7,13,substituicao_sai,Charles Abouo
Q1,3:22,Cote d'Ivoire,7,13,FR,Frejus Zerbo
Q1,3:22,China,7,13,FC,Zhelin Wang
Q1,3:35,China,7,13,AS,Shuo Fang
Q1,3:35,China,7,13,,Xiaochuan Zhaidunk made
Q1,3:39,Cote d'Ivoire,7,11,ER,Souleyman Diabate
Q1,3:39,China,7,11,BR,Qi Zhou
Q1,4:08,China,7,11,AS,Ailun Guo
Q1,4:08,China,7,11,3_Pts_C,Qi Zhou
Q1,4:14,Cote d'Ivoire,7,8,FC,Souleyman Diabate
Q1,4:14,China,7,8,substituicao_entra,Shuo Fang
Q1,4:14,China,7,8,substituicao_sai,Jiwei Zhao
Q1,4:14,China,7,8,FR,Jiwei Zhao
Q1,4:38,Cote d'Ivoire,7,8,2_Pts_C,Frejus Zerbo
Q1,4:58,Cote d'Ivoire,5,8,substituicao_entra,Frejus Zerbo
Q1,4:58,Cote d'Ivoire,5,8,substituicao_sai,Mohamed Kone
