Quarto,Tempo,Time,Placar_casa,Placar_visitante,Indicador,Nome
Q1,0:01,USA,14,17,,Derrick Whitelayup missed
Q1,0:10,Czech Republic,14,17,substituicao_entra,Tomas Vyoral
Q1,0:10,Czech Republic,14,17,substituicao_sai,Jakub Sirina
Q1,0:10,Czech Republic,14,17,FC,Jakub Sirina
Q1,0:10,USA,14,17,FR,Kemba Walker
Q1,0:31,Czech Republic,14,17,AS,Jakub Sirina
Q1,0:31,Czech Republic,14,17,,Blake Schilb3pt jump shot made
Q1,0:53,USA,11,17,AS,Kemba Walker
Q1,0:53,USA,11,17,,Derrick Whitedunk made
Q1,0:57,Czech Republic,11,15,ER,Jakub Sirina
Q1,0:57,USA,11,15,BR,Derrick White
Q1,10:00,USA,0,0,inicio_quarto,Myles Turner
Q1,1:12,Czech Republic,11,15,RD,Pavel Pumprla
Q1,1:12,USA,11,15,2_Pts_T,Joe Harris
Q1,1:28,Czech Republic,11,15,ER,Martin Peterka
Q1,1:52,USA,11,15,2_Pts_C,Joe Harris
Q1,1:58,Czech Republic,11,13,tempo_tecnico,
Q1,1:58,USA,11,13,substituicao_entra,Derrick White
Q1,1:58,USA,11,13,substituicao_sai,Khris Middleton
Q1,1:58,USA,11,13,RO,
Q1,1:59,USA,11,13,,Khris Middleton3pt jump shot missed
Q1,2:18,Czech Republic,11,13,substituicao_entra,Martin Kriz
Q1,2:18,Czech Republic,11,13,substituicao_sai,Tomas Satoransky
Q1,2:18,Czech Republic,11,13,substituicao_entra,Jakub Sirina
Q1,2:18,Czech Republic,11,13,substituicao_sai,Patrik Auda
Q1,2:18,Czech Republic,11,13,FC,Patrik Auda
Q1,2:18,Czech Republic,11,13,,Tomas Satoransky2pt jump shot missed
Q1,2:18,USA,11,13,FR,Jaylen Brown
Q1,2:18,USA,11,13,RD,
Q1,2:25,Czech Republic,11,13,BR,Pavel Pumprla
Q1,2:25,USA,11,13,ER,Khris Middleton
Q1,2:32,Czech Republic,11,13,2_Pts_T,Pavel Pumprla
Q1,2:32,USA,11,13,RD,Joe Harris
Q1,2:57,USA,11,13,2_Pts_C,Harrison Barnes
Q1,3:16,Czech Republic,11,11,ER,Tomas Satoransky
Q1,3:16,USA,11,11,substituicao_entra,Kemba Walker
Q1,3:16,USA,11,11,substituicao_sai,Marcus Smart
Q1,3:29,Czech Republic,11,9,FC,Patrik Auda
Q1,3:29,USA,11,11,LL_Pts_C,Harrison Barnes
Q1,3:29,USA,11,10,AS,Khris Middleton
Q1,3:29,USA,11,10,LL_Pts_C,Harrison Barnes
Q1,3:29,USA,11,9,FR,Harrison Barnes
Q1,3:39,Czech Republic,11,9,2_Pts_T,Pavel Pumprla
Q1,3:39,USA,11,9,RD,Jaylen Brown
Q1,4:01,Czech Republic,11,9,RD,
Q1,4:01,USA,11,9,substituicao_entra,Harrison Barnes
Q1,4:01,USA,11,9,substituicao_sai,Brook Lopez
Q1,4:01,USA,11,9,3_Pts_T,Marcus Smart
Q1,4:05,Czech Republic,11,9,substituicao_entra,Martin Peterka
Q1,4:05,Czech Republic,11,9,substituicao_sai,Jaromir Bohacik
Q1,4:05,Czech Republic,11,9,substituicao_entra,Pavel Pumprla
Q1,4:05,Czech Republic,11,9,substituicao_sai,Ondrej Balvín
Q1,4:09,Czech Republic,11,9,FC,Jaromir Bohacik
Q1,4:09,USA,11,9,FR,Khris Middleton
Q1,4:17,Czech Republic,11,9,,Tomas Satoransky3pt jump shot missed
Q1,4:17,USA,11,9,RD,Brook Lopez
Q1,4:27,Czech Republic,11,9,substituicao_entra,Blake Schilb
Q1,4:27,Czech Republic,11,9,substituicao_sai,Vojtech Hruban
Q1,4:27,Czech Republic,11,9,2_Pts_T,Patrik Auda
Q1,4:27,USA,11,9,substituicao_entra,Brook Lopez
Q1,4:27,USA,11,9,substituicao_sai,Myles Turner
Q1,4:27,USA,11,9,substituicao_entra,Joe Harris
Q1,4:27,USA,11,9,substituicao_sai,Donovan Mitchell
Q1,4:27,USA,11,9,muda_bola,
Q1,4:27,USA,11,9,RD,
Q1,4:27,USA,11,9,TO,Jaylen Brown
Q1,4:44,USA,11,9,2_Pts_C,Donovan Mitchell
Q1,4:50,Czech Republic,11,7,ER,Tomas Satoransky
Q1,4:50,USA,11,7,BR,Khris Middleton
Q1,5:00,Czech Republic,11,7,RD,Ondrej Balvín
Q1,5:00,USA,11,7,,Myles Turner2pt jump shot missed
Q1,5:17,Czech Republic,11,7,AS,Patrik Auda
Q1,5:17,Czech Republic,11,7,2_Pts_C,Ondrej Balvín
Q1,5:40,Czech Republic,9,7,RD,Jaromir Bohacik
Q1,5:40,USA,9,7,,Donovan Mitchell3pt jump shot missed
Q1,6:01,Czech Republic,9,7,AS,Ondrej Balvín
Q1,6:01,Czech Republic,9,7,,Tomas Satoranskylayup made
Q1,6:14,Czech Republic,7,7,RD,Patrik Auda
Q1,6:14,USA,7,7,,Khris Middleton3pt jump shot missed
Q1,6:28,Czech Republic,7,7,LL_Pts_T,Tomas Satoransky
Q1,6:28,Czech Republic,6,7,FR,Tomas Satoransky
Q1,6:28,Czech Republic,6,7,2_Pts_C,Tomas Satoransky
Q1,6:28,USA,6,7,substituicao_entra,Khris Middleton
Q1,6:28,USA,6,7,substituicao_sai,Jayson  Tatum
Q1,6:28,USA,6,7,tempo_tecnico,
Q1,6:28,USA,6,7,FC,Jayson  Tatum
Q1,6:34,Czech Republic,4,7,RO,Ondrej Balvín
Q1,6:34,Czech Republic,4,7,2_Pts_T,Patrik Auda
Q1,6:34,USA,4,7,TO,Myles Turner
Q1,6:45,Czech Republic,4,7,RD,Jaromir Bohacik
Q1,6:45,USA,4,7,2_Pts_T,Donovan Mitchell
Q1,7:04,Czech Republic,4,7,AS,Jaromir Bohacik
Q1,7:04,Czech Republic,4,7,,Vojtech Hrubanlayup made
Q1,7:17,USA,2,7,ER,Jaylen Brown
Q1,7:20,Czech Republic,2,7,,Tomas Satoranskylayup missed
Q1,7:20,USA,2,7,RD,Myles Turner
Q1,7:22,USA,2,7,substituicao_entra,Jaylen Brown
Q1,7:22,USA,2,7,substituicao_sai,Kemba Walker
Q1,7:22,USA,2,7,substituicao_entra,Marcus Smart
Q1,7:22,USA,2,7,substituicao_sai,Harrison Barnes
Q1,7:35,Czech Republic,2,7,FR,Tomas Satoransky
Q1,7:35,Czech Republic,2,7,RD,
Q1,7:35,USA,2,7,FC,Harrison Barnes
Q1,7:35,USA,2,7,,Myles Turnerlayup missed
Q1,7:45,Czech Republic,2,7,2_Pts_T,Patrik Auda
Q1,7:45,USA,2,7,RD,Myles Turner
Q1,7:45,USA,2,7,TO,Myles Turner
Q1,7:47,Czech Republic,2,7,FR,Patrik Auda
Q1,7:47,USA,2,7,FC,Kemba Walker
Q1,8:06,USA,2,7,2_Pts_C,Kemba Walker
Q1,8:21,Czech Republic,2,5,LL_Pts_C,Vojtech Hruban
Q1,8:21,Czech Republic,1,5,LL_Pts_C,Vojtech Hruban
Q1,8:21,Czech Republic,0,5,FR,Vojtech Hruban
Q1,8:21,USA,0,5,FC,Jayson  Tatum
Q1,8:32,USA,0,5,AS,Kemba Walker
Q1,8:32,USA,0,5,,Jayson  Tatum3pt jump shot made
Q1,8:44,Czech Republic,0,2,,Vojtech Hruban3pt jump shot missed
Q1,8:44,USA,0,2,RD,Harrison Barnes
Q1,9:04,USA,0,2,2_Pts_C,Kemba Walker
Q1,9:11,Czech Republic,0,0,2_Pts_T,Tomas Satoransky
Q1,9:11,USA,0,0,RD,Myles Turner
Q1,9:18,Czech Republic,0,0,RD,Ondrej Balvín
Q1,9:18,USA,0,0,,Harrison Barnes2pt jump shot missed
Q1,9:30,Czech Republic,0,0,ER,Patrik Auda
Q1,9:43,Czech Republic,0,0,RD,Patrik Auda
Q1,9:43,USA,0,0,,Myles Turner2pt jump shot missed
Q2,0:01,Czech Republic,29,43,2_Pts_T,Tomas Satoransky
Q2,0:01,USA,29,43,,Kemba Walker3pt floating jump shot missed
Q2,0:01,USA,29,43,RD,Kemba Walker
Q2,0:17,USA,29,43,2_Pts_C,Kemba Walker
Q2,0:40,Czech Republic,29,41,AS,Tomas Satoransky
Q2,0:40,Czech Republic,29,41,2_Pts_C,Martin Peterka
Q2,0:58,USA,27,41,AS,Jaylen Brown
Q2,0:58,USA,27,41,2_Pts_C,Kemba Walker
Q2,10:00,USA,0,0,muda_bola,
Q2,1:20,Czech Republic,27,39,LL_Pts_T,Patrik Auda
Q2,1:20,USA,27,39,RD,Donovan Mitchell
Q2,1:21,Czech Republic,27,39,FR,Patrik Auda
Q2,1:21,Czech Republic,27,39,AS,Pavel Pumprla
Q2,1:21,Czech Republic,27,39,,Patrik Audalayup made
Q2,1:21,USA,27,39,substituicao_entra,Jaylen Brown
Q2,1:21,USA,27,39,substituicao_sai,Khris Middleton
Q2,1:21,USA,27,39,substituicao_entra,Joe Harris
Q2,1:21,USA,27,39,substituicao_sai,Brook Lopez
Q2,1:21,USA,27,39,tempo_tecnico,
Q2,1:21,USA,27,39,FC,Donovan Mitchell
Q2,1:33,Czech Republic,25,39,RD,Pavel Pumprla
Q2,1:33,USA,25,39,,Khris Middleton2pt jump shot missed
Q2,1:51,Czech Republic,25,39,AS,Tomas Satoransky
Q2,1:51,Czech Republic,25,39,,Vojtech Hrubanlayup made
Q2,2:06,USA,23,39,AS,Donovan Mitchell
Q2,2:06,USA,23,39,,Harrison Barnes3pt jump shot made
Q2,2:23,Czech Republic,23,36,AS,Vojtech Hruban
Q2,2:23,Czech Republic,23,36,,Tomas Satoransky3pt jump shot made
Q2,2:29,Czech Republic,20,36,RO,Vojtech Hruban
Q2,2:29,Czech Republic,20,36,3_Pts_T,Patrik Auda
Q2,2:38,Czech Republic,20,36,substituicao_entra,Martin Peterka
Q2,2:38,Czech Republic,20,36,substituicao_sai,Ondrej Balvín
Q2,2:38,Czech Republic,20,36,FR,Pavel Pumprla
Q2,2:38,USA,20,36,substituicao_entra,Kemba Walker
Q2,2:38,USA,20,36,substituicao_sai,Jayson  Tatum
Q2,2:38,USA,20,36,substituicao_entra,Harrison Barnes
Q2,2:38,USA,20,36,substituicao_sai,Marcus Smart
Q2,2:38,USA,20,36,FC,Donovan Mitchell
Q2,2:59,USA,20,36,2_Pts_C,Jayson  Tatum
Q2,3:09,Czech Republic,20,34,2_Pts_T,Patrik Auda
Q2,3:09,USA,20,34,RD,Marcus Smart
Q2,3:15,Czech Republic,20,34,RD,Patrik Auda
Q2,3:15,USA,20,34,2_Pts_T,Jayson  Tatum
Q2,3:24,Czech Republic,20,34,2_Pts_T,Pavel Pumprla
Q2,3:24,USA,20,34,RD,Jayson  Tatum
Q2,3:24,USA,20,34,TO,Brook Lopez
Q2,3:31,Czech Republic,20,34,RO,Pavel Pumprla
Q2,3:31,Czech Republic,20,34,2_Pts_T,Pavel Pumprla
Q2,3:50,USA,20,34,2_Pts_C,Brook Lopez
Q2,4:08,Czech Republic,20,32,,Vojtech Hruban2pt jump shot missed
Q2,4:08,USA,20,32,RD,Khris Middleton
Q2,4:15,Czech Republic,20,32,FR,Tomas Satoransky
Q2,4:15,USA,20,32,FC,Marcus Smart
Q2,4:31,USA,20,32,ER,Marcus Smart
Q2,4:41,Czech Republic,20,32,substituicao_entra,Pavel Pumprla
Q2,4:41,Czech Republic,20,32,substituicao_sai,Jaromir Bohacik
Q2,4:41,Czech Republic,20,32,FC,Tomas Satoransky
Q2,4:41,Czech Republic,20,32,,Vojtech Hruban3pt jump shot missed
Q2,4:41,USA,20,32,FR,Jayson  Tatum
Q2,4:41,USA,20,32,RD,Jayson  Tatum
Q2,4:55,Czech Republic,20,32,RD,Ondrej Balvín
Q2,4:55,USA,20,32,,Jayson  Tatum3pt jump shot missed
Q2,5:09,Czech Republic,20,32,2_Pts_C,Tomas Satoransky
Q2,5:12,USA,18,32,substituicao_entra,Brook Lopez
Q2,5:12,USA,18,32,substituicao_sai,Myles Turner
Q2,5:19,Czech Republic,18,32,FR,Tomas Satoransky
Q2,5:26,Czech Republic,18,32,substituicao_entra,Tomas Satoransky
Q2,5:26,Czech Republic,18,32,substituicao_sai,Blake Schilb
Q2,5:26,USA,18,32,FC_O,Myles Turner
Q2,5:33,Czech Republic,18,32,,Jaromir Bohacik3pt jump shot missed
Q2,5:33,USA,18,32,RD,Myles Turner
Q2,5:50,Czech Republic,18,32,substituicao_entra,Patrik Auda
Q2,5:50,Czech Republic,18,32,substituicao_sai,Martin Kriz
Q2,5:50,Czech Republic,18,32,tempo_tecnico,
Q2,5:50,USA,18,32,2_Pts_C,Jayson  Tatum
Q2,6:09,Czech Republic,18,30,2_Pts_T,Jaromir Bohacik
Q2,6:09,USA,18,30,RD,
Q2,6:19,Czech Republic,18,30,RO,
Q2,6:19,Czech Republic,18,30,2_Pts_T,Martin Kriz
Q2,6:19,USA,18,30,substituicao_entra,Khris Middleton
Q2,6:19,USA,18,30,substituicao_sai,Derrick White
Q2,6:19,USA,18,30,TO,Jayson  Tatum
Q2,6:32,USA,18,30,AS,Jayson  Tatum
Q2,6:32,USA,18,30,,Donovan Mitchell3pt jump shot made
Q2,6:44,Czech Republic,18,27,AS,Martin Kriz
Q2,6:44,Czech Republic,18,27,2_Pts_C,Ondrej Balvín
Q2,6:51,Czech Republic,16,27,RD,Vojtech Hruban
Q2,6:51,USA,16,27,,Myles Turner2pt jump shot missed
Q2,6:57,USA,16,27,RO,Myles Turner
Q2,6:57,USA,16,27,,Jayson  Tatum3pt jump shot missed
Q2,7:05,Czech Republic,16,27,substituicao_entra,Jaromir Bohacik
Q2,7:05,Czech Republic,16,27,substituicao_sai,Tomas Satoransky
Q2,7:05,Czech Republic,16,27,FC,Vojtech Hruban
Q2,7:05,USA,16,27,substituicao_entra,Marcus Smart
Q2,7:05,USA,16,27,substituicao_sai,Joe Harris
Q2,7:05,USA,16,27,FR,Jayson  Tatum
Q2,7:07,Czech Republic,16,27,2_Pts_T,Blake Schilb
Q2,7:07,USA,16,27,RD,Jayson  Tatum
Q2,7:21,USA,16,27,AS,Derrick White
Q2,7:21,USA,16,27,,Jayson  Tatum3pt jump shot made
