Quarto,Tempo,Time,Placar_casa,Placar_visitante,Indicador,Nome
Q1,0:03,Dominican Republic,14,19,AS,Gelvis Solano
Q1,0:03,Dominican Republic,14,19,,Ronald Roberts2pt jump shot made
Q1,0:28,Dominican Republic,12,19,RD,Rigoberto Mendoza
Q1,0:28,Lithuania,12,19,2_Pts_T,Jonas Valanciunas
Q1,0:49,Lithuania,12,19,RD,Jonas Valanciunas
Q1,0:50,Dominican Republic,12,19,,Gelvis Solanolayup missed
Q1,10:00,Lithuania,0,0,inicio_quarto,Jonas Valanciunas
Q1,1:04,Dominican Republic,12,19,RD,
Q1,1:05,Lithuania,12,19,,Renaldas Seibutislayup missed
Q1,1:08,Dominican Republic,12,19,ER,Luis Montero
Q1,1:08,Lithuania,12,19,BR,Jonas Valanciunas
Q1,1:25,Dominican Republic,12,19,FR,Luis Montero
Q1,1:25,Lithuania,12,19,substituicao_entra,Jonas Maciulis
Q1,1:25,Lithuania,12,19,substituicao_sai,Mindaugas Kuzminskas
Q1,1:25,Lithuania,12,19,FC_O,Mindaugas Kuzminskas
Q1,1:38,Dominican Republic,12,19,AS,Gelvis Solano
Q1,1:38,Dominican Republic,12,19,,Luis Montero2pt jump shot made
Q1,2:01,Lithuania,10,19,2_Pts_C,Mindaugas Kuzminskas
Q1,2:23,Dominican Republic,10,17,AS,Gelvis Solano
Q1,2:23,Dominican Republic,10,17,,Rigoberto Mendoza3pt jump shot made
Q1,2:40,Dominican Republic,7,17,BR,Sadiel Rojas
Q1,2:40,Lithuania,7,17,ER,Mindaugas Kuzminskas
Q1,2:49,Dominican Republic,7,17,FC,Gelvis Solano
Q1,2:49,Lithuania,7,17,FR,Lukas Lekavicius
Q1,2:55,Dominican Republic,7,17,AS,Gelvis Solano
Q1,2:55,Dominican Republic,7,17,,Sadiel Rojas3pt jump shot made
Q1,3:14,Dominican Republic,4,17,RD,
Q1,3:15,Lithuania,4,17,2_Pts_T,Mindaugas Kuzminskas
Q1,3:26,Dominican Republic,4,17,ER,Gelvis Solano
Q1,3:39,Dominican Republic,4,15,FC,Luis Montero
Q1,3:39,Lithuania,4,17,LL_Pts_C,Jonas Valanciunas
Q1,3:39,Lithuania,4,16,LL_Pts_C,Jonas Valanciunas
Q1,3:39,Lithuania,4,15,FR,Jonas Valanciunas
Q1,3:52,Dominican Republic,4,15,3_Pts_T,Gelvis Solano
