Quarto,Tempo,Time,Placar_casa,Placar_visitante,Indicador,Nome
Q1,0:00,Spain,22,18,,Sergio Llull3pt jump shot missed
Q1,0:01,Spain,22,18,RD,Sergio Llull
Q1,0:01,Poland,22,18,,Damian Kulig3pt jump shot missed
Q1,0:26,Spain,22,18,AS,Sergio Llull
Q1,0:26,Spain,22,18,,Willy Hernangomez Geuerlayup made
Q1,0:38,Spain,20,18,substituicao_entra,Juancho Hernangomez
Q1,0:38,Spain,20,18,substituicao_sai,Victor Claver
Q1,0:38,Spain,20,18,RD,
Q1,0:38,Poland,20,18,substituicao_entra,A.J. Slaughter
Q1,0:38,Poland,20,18,substituicao_sai,Adam Waczynski
Q1,0:38,Poland,20,18,,Adam Waczynski3pt jump shot missed
Q1,0:53,Spain,20,18,AS,Pau Ribas
Q1,0:53,Spain,20,18,,Willy Hernangomez Geuer2pt jump shot made
Q1,10:00,Spain,0,0,inicio_quarto,Marc Gasol
Q1,1:13,Poland,18,18,AS,Adam Waczynski
Q1,1:13,Poland,18,18,,Damian Kulig3pt jump shot made
Q1,1:27,Spain,18,15,ER,Willy Hernangomez Geuer
Q1,1:27,Poland,18,15,BR,Aleksander Roman Balcerowski
Q1,1:32,Spain,18,15,RO,Willy Hernangomez Geuer
Q1,1:32,Spain,18,15,2_Pts_T,Willy Hernangomez Geuer
Q1,1:50,Spain,18,15,RD,Pierre Oriola
Q1,1:50,Poland,18,15,,Michal Sokolowski3pt jump shot missed
Q1,1:54,Spain,18,15,substituicao_entra,Pierre Oriola
Q1,1:54,Spain,18,15,substituicao_sai,Ricky Rubio
Q1,2:14,Spain,18,15,2_Pts_T,Ricky Rubio
Q1,2:14,Poland,18,15,RD,Lukasz Koszarek
Q1,2:27,Spain,18,15,RO,Ricky Rubio
Q1,2:27,Spain,18,15,,Victor Claver3pt jump shot missed
Q1,2:54,Poland,18,15,AS,Damian Kulig
Q1,2:54,Poland,18,15,,Lukasz Koszarek3pt jump shot made
Q1,2:58,Spain,18,12,substituicao_entra,Willy Hernangomez Geuer
Q1,2:58,Spain,18,12,substituicao_sai,Marc Gasol
Q1,2:58,Spain,18,12,FC,Victor Claver
Q1,2:58,Poland,18,12,FR,Aleksander Roman Balcerowski
Q1,3:12,Spain,18,12,AS,Marc Gasol
Q1,3:12,Spain,18,12,,Victor Claverlayup made
Q1,3:21,Spain,16,12,substituicao_entra,Sergio Llull
Q1,3:21,Spain,16,12,substituicao_sai,Juancho Hernangomez
Q1,3:21,Spain,16,12,substituicao_entra,Pau Ribas
Q1,3:21,Spain,16,12,substituicao_sai,Rudy Fernandez
Q1,3:21,Poland,16,12,substituicao_entra,Lukasz Koszarek
Q1,3:21,Poland,16,12,substituicao_sai,Mateusz Ponitka
Q1,3:21,Poland,16,12,substituicao_entra,Michal Sokolowski
Q1,3:21,Poland,16,12,substituicao_sai,A.J. Slaughter
Q1,3:26,Spain,16,12,RD,Marc Gasol
Q1,3:26,Poland,16,12,,Mateusz Ponitkalayup missed
Q1,3:44,Spain,16,12,3_Pts_T,Victor Claver
Q1,3:44,Poland,16,12,RD,Adam Waczynski
Q1,4:00,Poland,16,12,AS,A.J. Slaughter
Q1,4:00,Poland,16,12,3_Pts_C,Adam Waczynski
Q1,4:24,Spain,16,9,AS,Marc Gasol
Q1,4:24,Spain,16,9,,Rudy Fernandez3pt jump shot made
Q1,4:35,Spain,13,9,RD,Rudy Fernandez
Q1,4:35,Poland,13,9,,Mateusz Ponitka3pt jump shot missed
Q1,4:50,Spain,13,9,ER,Ricky Rubio
Q1,5:05,Poland,13,9,substituicao_entra,Damian Kulig
Q1,5:05,Poland,13,9,substituicao_sai,Adam Hrycaniuk
Q1,5:05,Poland,13,9,ER,Adam Waczynski
Q1,5:19,Spain,13,9,LL_Pts_T,Marc Gasol
Q1,5:19,Spain,13,9,AS,Rudy Fernandez
Q1,5:19,Spain,13,9,LL_Pts_C,Marc Gasol
Q1,5:19,Spain,12,9,FR,Marc Gasol
Q1,5:19,Poland,13,9,RD,Adam Hrycaniuk
Q1,5:19,Poland,12,9,FC,Mateusz Ponitka
Q1,5:26,Spain,12,9,FR,Ricky Rubio
Q1,5:26,Poland,12,9,FC,Aleksander Roman Balcerowski
Q1,5:29,Spain,12,9,BR,Marc Gasol
Q1,5:29,Poland,12,9,ER,Mateusz Ponitka
Q1,5:45,Spain,12,9,2_Pts_C,Ricky Rubio
Q1,6:01,Poland,10,9,,A.J. Slaughter3pt jump shot made
Q1,6:17,Spain,10,6,AS,Marc Gasol
Q1,6:17,Spain,10,6,,Victor Claverlayup made
Q1,6:29,Spain,8,6,RD,Rudy Fernandez
Q1,6:29,Poland,8,6,,A.J. Slaughter2pt jump shot missed
Q1,6:45,Spain,8,6,FC_O,Marc Gasol
Q1,6:45,Poland,8,6,FR,A.J. Slaughter
Q1,6:57,Spain,8,6,RD,Victor Claver
Q1,6:57,Poland,8,6,,Adam Waczynski3pt jump shot missed
Q1,7:14,Spain,8,6,LL_Pts_C,Ricky Rubio
Q1,7:14,Spain,7,6,FR,Ricky Rubio
Q1,7:14,Spain,7,6,AS,Rudy Fernandez
Q1,7:14,Spain,7,6,,Ricky Rubio3pt jump shot made
Q1,7:14,Poland,7,6,substituicao_entra,Aleksander Roman Balcerowski
Q1,7:14,Poland,7,6,substituicao_sai,Aaron Cel
Q1,7:14,Poland,7,6,FC,Aaron Cel
Q1,7:34,Poland,4,6,AS,Mateusz Ponitka
Q1,7:34,Poland,4,6,,Aaron Cellayup made
Q1,7:39,Spain,4,4,ER,Rudy Fernandez
Q1,7:39,Poland,4,4,BR,Mateusz Ponitka
Q1,7:52,Spain,4,4,RD,Rudy Fernandez
Q1,7:52,Poland,4,4,2_Pts_T,Mateusz Ponitka
Q1,8:18,Spain,4,4,2_Pts_C,Ricky Rubio
Q1,8:36,Poland,2,4,AS,A.J. Slaughter
Q1,8:36,Poland,2,4,2_Pts_C,Adam Waczynski
Q1,8:49,Spain,2,2,FC,Ricky Rubio
Q1,8:49,Poland,2,2,FR,A.J. Slaughter
Q1,9:08,Spain,2,2,2_Pts_T,Marc Gasol
Q1,9:08,Poland,2,2,RD,Adam Hrycaniuk
Q1,9:28,Poland,2,2,2_Pts_C,A.J. Slaughter
Q1,9:41,Spain,2,0,LL_Pts_C,Juancho Hernangomez
Q1,9:41,Spain,1,0,LL_Pts_C,Juancho Hernangomez
Q1,9:41,Spain,0,0,FR,Juancho Hernangomez
Q1,9:41,Poland,0,0,FC,Aaron Cel
Q2,0:02,Spain,46,41,LL_Pts_T,Ricky Rubio
Q2,0:02,Spain,46,41,LL_Pts_C,Ricky Rubio
Q2,0:02,Spain,45,41,substituicao_entra,Victor Claver
Q2,0:02,Spain,45,41,substituicao_sai,Sergio Llull
Q2,0:02,Spain,45,41,FR,Ricky Rubio
Q2,0:02,Poland,46,41,RD,Mateusz Ponitka
Q2,0:02,Poland,45,41,FC,Michal Sokolowski
Q2,0:10,Spain,45,39,substituicao_entra,Sergio Llull
Q2,0:10,Spain,45,39,substituicao_sai,Victor Claver
Q2,0:10,Spain,45,39,tempo_tecnico,
Q2,0:10,Spain,45,39,FC,Pau Ribas
Q2,0:10,Poland,45,41,substituicao_entra,Michal Sokolowski
Q2,0:10,Poland,45,41,substituicao_sai,Adam Waczynski
Q2,0:10,Poland,45,41,LL_Pts_C,Adam Waczynski
Q2,0:10,Poland,45,40,LL_Pts_C,Adam Waczynski
Q2,0:10,Poland,45,39,FR,Adam Waczynski
Q2,0:12,Spain,45,39,ER,Ricky Rubio
Q2,0:32,Spain,45,39,RD,Juancho Hernangomez
Q2,0:32,Poland,45,39,,A.J. Slaughter3pt jump shot missed
Q2,0:38,Spain,45,39,substituicao_entra,Victor Claver
Q2,0:38,Spain,45,39,substituicao_sai,Sergio Llull
Q2,0:38,Spain,45,39,substituicao_entra,Pau Ribas
Q2,0:38,Spain,45,39,substituicao_sai,Rudy Fernandez
Q2,0:38,Spain,45,39,substituicao_entra,Willy Hernangomez Geuer
Q2,0:38,Spain,45,39,substituicao_sai,Marc Gasol
Q2,0:38,Spain,45,39,FC,Rudy Fernandez
Q2,0:38,Poland,45,39,substituicao_entra,Aleksander Roman Balcerowski
Q2,0:38,Poland,45,39,substituicao_sai,Aaron Cel
Q2,0:38,Poland,45,39,FR,Mateusz Ponitka
Q2,0:41,Spain,45,39,2_Pts_T,Ricky Rubio
Q2,0:41,Poland,45,39,RD,Adam Hrycaniuk
Q2,0:56,Poland,45,39,2_Pts_C,Mateusz Ponitka
Q2,10:00,Poland,22,18,muda_bola,
Q2,1:07,Spain,45,37,2_Pts_T,Marc Gasol
Q2,1:07,Poland,45,37,RD,Mateusz Ponitka
Q2,1:26,Spain,45,37,RD,Ricky Rubio
Q2,1:26,Poland,45,37,,Adam Waczynski2pt jump shot missed
Q2,1:38,Spain,45,37,FC,Sergio Llull
Q2,1:38,Poland,45,37,FR,Adam Waczynski
Q2,1:47,Spain,45,37,LL_Pts_C,Marc Gasol
Q2,1:47,Spain,44,37,substituicao_entra,Juancho Hernangomez
Q2,1:47,Spain,44,37,substituicao_sai,Victor Claver
Q2,1:47,Spain,44,37,FR,Marc Gasol
Q2,1:47,Spain,44,37,AS,Victor Claver
Q2,1:47,Spain,44,37,,Marc Gasollayup made
Q2,1:47,Poland,44,37,tempo_tecnico,
Q2,1:47,Poland,44,37,FC,A.J. Slaughter
Q2,1:57,Spain,42,37,BR,Rudy Fernandez
Q2,1:57,Poland,42,37,ER,Adam Hrycaniuk
